title,date,author,text
Up Altas Aventuras: 13 lições que aprendemos com o filme da Pixar,02/04/2022, Matheus Rocha da Silva ,Já faz 13 anos que o público se emocionou pela primeira vez com as cenas iniciais de 
Morbius: filme com Jared Leto estreia no Brasil,31/03/2022, Giovanna Fantinato ,"A mais nova produção da Sony no universo de Homem-Aranha, "
Bridgerton: Kate e Anthony retornam para 3ª temporada; veja!,31/03/2022, Marcelo de Morais ,A atriz Simone Ashley trouxe uma ótima notícia para os fãs da série da 
Fallout: Ella Purnell será a protagonista da série; confira!,31/03/2022, Flávio Motta Coutinho ,A famosa franquia de jogos 
Bridgerton: atriz revela que estará na série spin-off da rainha Charlotte,31/03/2022, Marcelo de Morais ,A série da 
Will Smith: Academia já iniciou processo disciplinar contra ator; entenda!,31/03/2022, Robinson Samulak Alves ,"A Academia de Artes e Ciências Cinematográficas emitiu um comunicado afirmando que avalia um processo disciplinar contra Will Smith. A medida é a primeira reação efetiva da Academia contra o ator, que, durante a 94ª cerimônia do Oscar, subiu ao palco e "
Bridgerton: série spin-off terá história da rainha Charlotte; veja elenco!,31/03/2022, Flávio Motta Coutinho ,Um spin-off de 
Titans: 4ª temporada da série tem fotos inéditas divulgadas; veja!,31/03/2022, Marco Aurelio Andrade de Souza ,"Desde o último domingo, 27, Nicholas Copus, diretor de "
"Chris Rock pediu que polícia não retirasse Wil Smith do Oscar, diz produtor",01/04/2022, Giovanna Fantinato ,"O produtor do Oscar 2022, Will Packer, revelou mais detalhes a respeito do "
Animais Fantásticos 3: primeiras reações ao filme apontam melhorias; veja!,01/04/2022, Matheus Rocha da Silva ,Focado em um dos personagens mais importantes da franquia 
Jim Carrey anuncia que se aposentará do cinema após Sonic 2,01/04/2022, Carlos Palmeira ,O ator 
Obi-Wan Kenobi tem estreia adiada no DIsney+; veja nova data!,31/03/2022, Giovanna Fantinato ,", a mais recente produção do universo de "
Attack On Titan: humanidade está ameaçada no útimo episódio; veja promo!,01/04/2022, Flávio Motta Coutinho ,O sucesso 
Cavaleiro da Lua: o que você precisa saber antes de ver a série,01/04/2022, Giovanna Fantinato ,", nova série da Marvel Studios, estreou hoje no catálogo do "
Cavaleiro da Lua: é preciso assistir outras produções do MCU para entender?,31/03/2022, Luciana Penante ,A nova série do 
Dark Matter: Apple TV+ anuncia série de ficção científica com Joel Edgerton,30/03/2022, Ricardo Isídio ,O 
Amazon Prime Video: todos os lançamentos de abril de 2022,01/04/2022, Giovanna Fantinato ,O 
Bridgerton: 7 perguntas que temos após final da 2ª temporada,30/03/2022, Flávio Motta Coutinho ,A 2ª temporada de 
Victoria Pedretti será estrela da série dramática Saint X; veja!,30/03/2022, Marcelo de Morais ,"A atriz Victoria Pedretti, famosa por sua atuação no suspense psicológico da "
"Riverdale: elenco está pronto para final da série, diz ator; veja!",01/04/2022, Matheus Rocha da Silva ,Em entrevista à revista 
Will Smith: produtor do Oscar fala sobre tapa de Will Smith em Chris Rock,01/04/2022, Marcelo de Morais ,Quase uma semana após a cerimônia de 
The Good Doctor é renovada para a 6ª temporada pela ABC,31/03/2022, Giovanna Fantinato ,A ABC anunciou na noite da última quarta-feira (30) a renovação da série 
Project Artemis: filme da Apple reunirá Scarlett Johansson e Chris Evans,01/04/2022, Ricardo Isídio ,A Apple anunciou que Scarlett Johansson e Chris Evans serão os protagonistas de 
Manifest: teoria faz ligação entre todos os desaparecimentos,02/04/2022, Flávio Motta Coutinho ,Os questionamentos sobre como os passageiros do Voo 828 retornaram 5 anos depois que o avião entrou em uma tempestade ainda assombram os fãs de 
Bridgerton: tudo o que já sabemos sobre a 3ª temporada da série,02/04/2022, Flávio Motta Coutinho , se tornou a série queridinha da 
Bridgerton: descubra quais são as músicas cover da 2ª temporada,02/04/2022, Flávio Motta Coutinho ,A 
Morbius: filme amarga baixo desempenho e aprovação; veja reações!,01/04/2022, Flávio Motta Coutinho ,A Sony acaba de lançar a sua nova produção dentro do universo da 
Cavaleiro da Lua: saiba onde a série está na linha do tempo do MCU,01/04/2022, Flávio Motta Coutinho ,O primeiro episódio de 
Grey's Anatomy 18x14: Maggie e Winston têm um grande desafio (recap),01/04/2022, Matheus Rocha da Silva ,A 18ª temporada de 
